C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,08:00:00,REGULAR,0000472781,0001784960                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,12:00:00,REGULAR,0000472843,0001785837                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,16:00:00,REGULAR,0000472966,0001786293                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,20:00:00,REGULAR,0000473284,0001786944                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,00:00:00,REGULAR,0000473412,0001787191                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,04:00:00,REGULAR,0000473425,0001787234                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,08:00:00,REGULAR,0000473434,0001787417                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,12:00:00,REGULAR,0000473491,0001788036                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,16:00:00,REGULAR,0000473626,0001788484                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,20:00:00,REGULAR,0000473862,0001788983                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0004641089,0007294369                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,04:00:00,REGULAR,0004641139,0007294422                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,08:00:00,REGULAR,0004641159,0007294525                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,12:00:00,REGULAR,0004641303,0007294896                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,16:00:00,REGULAR,0004641572,0007295367                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,20:00:00,REGULAR,0004641949,0007295848                                     
